id,brand,model,price,network_model
116,Samsung,"Galaxy Z TriFold",19999,
115,Samsung,"Galaxy Z Fold7",12999,
39,Samsung,"Galaxy S26 Ultra",11599,
146,OPPO,"OPPO Find N6",10999,
132,Huawei,"华为 Pura 80 Ultra",9999,
38,Samsung,"Galaxy S26+",9599,
29,OPPO,"OPPO Find X9 Ultra",8499,
42,HONOR,"Magic8 RSR 保时捷设计",7999,
63,Huawei,"HUAWEI Mate 80 Pro Max",7999,
93,Xiaomi,"Xiaomi 17 Ultra 徕卡版",7999,
113,Samsung,"Galaxy Z Flip7",7999,
158,Samsung,"Galaxy S25 Edge",7999,
37,Samsung,"Galaxy S26",6999,
44,Xiaomi,"Xiaomi 17 Ultra",6999,
181,Huawei,"Pocket 70 Pro",6999,
231,HONOR,"荣耀 Magic Vs3",6999,
22,RedMagic,"红魔 11S Pro+",6199,
79,Xiaomi,"Xiaomi 17 Pro Max",5999,
41,HONOR,"荣耀 Magic8 Pro Air",5699,
111,RedMagic,"红魔 11 Pro+",5699,
21,RedMagic,"红魔 11S Pro",5499,
221,RedMagic,"红魔 10S Pro+",5499,
67,OPPO,"OPPO Find X9 Pro",5299,
110,RedMagic,"红魔 11 Pro",4999,
109,OPPO,"OPPO Reno15 Pro",4799,
197,OPPO,"OPPO Find X8s+",4799,
94,HONOR,"荣耀Magic V Flip2",4699,
17,OPPO,"OPPO Reno16 Pro",4499,
73,OnePlus,"一加 15T",4299,
218,RedMagic,"红魔 10S Pro",4299,
173,Huawei,"HUAWEI nova 14 Ultra",4199,
248,RedMagic,"红魔 9S Pro+",4199,
5,Xiaomi,"Xiaomi 17T Pro",3999,
59,REDMI,"Redmi K90 Pro Max",3999,
103,HONOR,"荣耀 WIN",3999,
16,HONOR,"荣耀600 Pro",3899,
189,OPPO,"OPPO Find X8s",3799,
107,OPPO,"OPPO Reno15",3699,
108,RedMagic,"红魔 11 Air",3699,
155,HONOR,"荣耀 GT Pro",3699,
54,HONOR,"荣耀 500 Pro",3599,
247,RedMagic,"红魔 9S Pro",3599,
15,OPPO,"OPPO Reno16",3499,
102,OnePlus,"一加 Ace 6 至尊版",3499,
170,Huawei,"HUAWEI nova 14 Pro",3499,
241,Huawei,"HUAWEI nova Flip S",3488,
127,OPPO,"OPPO K15 Pro+",3419,
101,HONOR,"荣耀 WIN RT",3399,
14,HONOR,"荣耀600 超级版",3299,
18,iQOO,"iQOO 15T",3299,
106,OPPO,"OPPO Reno15c",3299,
137,HONOR,"荣耀 Power2",3299,
57,REDMI,"Redmi K90 Max",3199,
100,iQOO,"iQOO Neo11",3099,
135,vivo,"S21 Pro",2999,
142,Samsung,"Galaxy A56 5G",2999,
143,Samsung,"Galaxy A56",2999,
216,RedMagic,"红魔 10",2999,
11,vivo,"vivo S60 元气版",2899,
149,HONOR,"荣耀 GT",2899,
125,realme,"Neo7 Turbo",2799,
10,HONOR,"荣耀WIN Turbo",2699,
13,HONOR,"荣耀600 元气版",2699,
240,iQOO,"iQOO Z11 Turbo",2699,
175,REDMI,"REDMI K80至尊版",2599,
213,HONOR,"X70 Pro",2599,
55,REDMI,"Redmi K90",2549,
35,OPPO,"OPPO A6k",2399,
123,OPPO,"OPPO K15 Pro",2399,
96,REDMI,"REDMI Turbo 5 Max",2299,
97,REDMI,"REDMI Turbo 5",2299,
133,iQOO,"iQOO Z10 Turbo+",2299,
229,vivo,"S21",2299,
239,realme,"Neo8",2299,
89,HONOR,"荣耀Play11 Plus",2199,
122,OPPO,"OPPO K13 Turbo Pro",2199,
120,OPPO,"OPPO K13 Turbo",2099,
121,realme,"Neo7",2099,
238,iQOO,"iQOO Z11",2099,
104,OnePlus,"一加 Ace 6T",2040,
1,HONOR,"荣耀X70 Pro Max",1999,
3,OnePlus,"一加 Turbo 6X Pro",1999,
34,OPPO,"OPPO A6 Plus",1999,
88,REDMI,"Redmi Note 15 Pro+",1999,
95,HONOR,"X80i",1999,
119,OnePlus,"一加 Turbo 6V",1999,
208,REDMI,"Redmi Turbo 4",1999,
228,Samsung,"Galaxy C55 5G",1999,
236,realme,"13 Pro+",1999,
237,OPPO,"OPPO A6s Pro",1999,
40,OPPO,"OPPO A6 GT",1979,
184,HONOR,"荣耀X70 焕新版",1799,
207,HONOR,"荣耀畅玩70 Plus",1799,
255,Huawei,"华为畅享70X尊享版",1799,
82,OPPO,"OPPO A6 Pro",1709,
48,OPPO,"OPPO A6i+",1619,
260,REDMI,"Redmi Note 17 Pro",1599,
2,OnePlus,"一加 Turbo 6X",1499,
47,OPPO,"OPPO A6 Max",1499,
253,Huawei,"华为畅享90Plus",1499,
87,OPPO,"OPPO A5 活力版",1449,
118,HONOR,"荣耀Play10T",1399,
259,REDMI,"Redmi Note 17",1299,
254,Huawei,"华为畅享90",1299,
258,iQOO,"iQOO Z11i",1299,
46,OPPO,"OPPO A6v",1199,
80,OPPO,"OPPO A6i",1169,
45,OPPO,"OPPO A3i",999,
141,HONOR,"荣耀畅玩70C",799,
256,REDMI,"Redmi 17C",799,
